time,loop_dt,x,y,z,vx,vy,vz,pitch,roll,yaw,pid_x,pid_y,pid_z,rc_lr,rc_fb,rc_ud,rc_yaw,tof_cm,barometer_m,height_cm,agx,agy,agz,vel_raw_x,vel_raw_y,vel_raw_z,pitch_raw,roll_raw,yaw_raw,battery:
1765315461.401439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-1,0,0.0,0.0,10.0,0.0,0.0,10.0,0,86,15962.0,60,14.0,-35.0,-1006.0,0,0,0,1,-1,0,77
1765315461.4425623,0.0,0.0,0.0,1.26,0.0,0.0,0.0,1,-1,0,0.0,0.0,-40,0.0,0.0,-40,0,86,15971.0,60,-47.0,-1.0,-971.0,0,0,0,1,-1,0,77
1765315461.4836128,0.0,0.0,0.0,1.6380000000000001,0.0,0.0,0.0,1,-1,0,0.0,0.0,-40,0.0,0.0,-40,0,86,15971.0,60,-47.0,-1.0,-971.0,0,0,0,1,-1,0,77
1765315461.524604,0.0,0.0,0.0,1.7514,0.0,0.0,0.0,1,-1,0,0.0,0.0,-40,0.0,0.0,-40,0,86,15971.0,60,-47.0,-1.0,-971.0,0,0,0,1,-1,0,77
1765315461.565476,0.0,0.00040871858596801757,0.0,1.08542,0.01,0.0,0.0,1,-1,0,-0.1363487434387207,0.0,40,-0.1363487434387207,0.0,40,0,86,15966.0,60,-45.0,2.0,-985.0,1,0,0,1,-1,0,77
1765315461.606281,0.0005052089691162109,0.0008167695999145507,0.0,0.885626,0.01,0.0,0.0,1,-1,0,-0.19920323084193142,0.0,40,-0.19920323084193142,0.0,40,0,86,15966.0,60,-45.0,2.0,-985.0,1,0,0,1,-1,0,77
1765315461.6467478,0.0,0.0012214374542236328,0.0,1.3891877999997453,0.01,0.0,0.0,0,-1,0,-0.23698756110800273,0.0,-40,-0.23698756110800273,0.0,-40,0,87,15969.999999999998,60,-11.0,-9.0,-945.0,1,0,0,0,-1,0,76
1765315461.6875277,0.0,0.0016292357444763184,0.0,1.540256339999669,0.01,0.0,0.0,0,-1,0,-0.2604214549546757,0.0,-40,-0.2604214549546757,0.0,-40,0,87,15969.999999999998,60,-11.0,-9.0,-945.0,1,0,0,0,-1,0,76
1765315461.7283185,0.0,0.0020371437072753905,0.0,1.585576901999646,0.01,0.0,0.0,0,-1,0,-0.2795865583612648,0.0,-40,-0.2795865583612648,0.0,-40,0,87,15969.999999999998,60,-11.0,-9.0,-945.0,1,0,0,0,-1,0,76
1765315461.7692676,0.0,0.0024466347694396973,0.0,2.155673070599894,0.01,0.0,0.0,0,-1,0,-0.2971057148056876,0.0,-40,-0.2971057148056876,0.0,-40,0,86,15974.0,60,40.0,-37.0,-1042.0,1,0,0,0,-1,0,76
1765315461.8100913,0.0,0.00285487174987793,0.0,2.3267019211799687,0.01,0.0,0.0,0,-1,0,-0.3138909996063571,0.0,-40,-0.3138909996063571,0.0,-40,0,86,15974.0,60,40.0,-37.0,-1042.0,1,0,0,0,-1,0,76
1765315461.8513517,0.0,0.00285487174987793,0.0,1.9580105763539906,0.0,0.0,0.0,1,-1,0,-0.19407332183961315,0.0,15.232393559489736,-0.19407332183961315,0.0,15.232393559489736,0,86,15971.0,60,-16.0,-17.0,-1016.0,0,0,0,1,-1,0,76
1765315461.8921745,0.0,0.00285487174987793,0.0,1.8474031729061973,0.0,0.0,0.0,1,-1,0,-0.14614625073291557,0.0,5.33590557171528,-0.14614625073291557,0.0,5.33590557171528,0,86,15971.0,60,-16.0,-17.0,-1016.0,0,0,0,1,-1,0,76
1765315461.9330587,0.0,0.00285487174987793,0.0,1.8142209518718593,0.0,0.0,0.0,1,-1,0,-0.12697542229023653,0.0,-10.91793269286132,-0.12697542229023653,0.0,-10.91793269286132,0,86,15971.0,60,-16.0,-17.0,-1016.0,0,0,0,1,-1,0,76
1765315461.9741457,0.001001119613647461,0.00285487174987793,0.0,0.8242662855613032,0.0,0.0,0.0,1,-1,0,-0.11930709091316494,0.0,40,-0.11930709091316494,0.0,40,0,86,15963.999999999998,60,25.0,0.0,-1003.0,0,0,0,1,-1,0,76
1765315462.015258,0.0,0.00285487174987793,0.0,0.5272798856681363,0.0,0.0,0.0,1,-1,0,-0.11623975836233628,0.0,40,-0.11623975836233628,0.0,40,0,86,15963.999999999998,60,25.0,0.0,-1003.0,0,0,0,1,-1,0,76
1765315462.056515,0.0,0.00285487174987793,0.0,1.1346839657004408,0.0,0.0,0.0,1,-1,0,-0.11501282534200483,0.0,-40,-0.11501282534200483,0.0,-40,0,85,15969.0,60,9.0,-21.0,-1026.0,0,0,0,1,-1,0,76
1765315462.097501,0.0,0.00285487174987793,0.0,1.3169051897101323,0.0,0.0,0.0,1,-1,0,-0.11452205213387225,0.0,-40,-0.11452205213387225,0.0,-40,0,85,15969.0,60,9.0,-21.0,-1026.0,0,0,0,1,-1,0,76
1765315462.1388736,0.0005090236663818359,0.00285487174987793,0.0,1.3715715569130396,0.0,0.0,0.0,1,-1,0,-0.11432574285061921,0.0,-40,-0.11432574285061921,0.0,-40,0,85,15969.0,60,9.0,-21.0,-1026.0,0,0,0,1,-1,0,76
1765315462.1794314,0.0,0.00285487174987793,0.00040557861328125003,1.5279714670736573,0.0,0.01,0.0,1,-1,0,-0.114247219137318,-0.13622314453125,-40,-0.114247219137318,-0.13622314453125,-40,0,85,15969.999999999998,60,11.0,-14.0,-973.0,0,1,0,1,-1,0,76
1765315462.2205238,0.0,0.00285487174987793,0.000816502571105957,1.5748914401218426,0.0,0.01,0.0,1,-1,0,-0.11421580965199751,-0.20066010284423827,-39.84674533003091,-0.11421580965199751,-0.20066010284423827,-39.84674533003091,0,85,15969.999999999998,60,11.0,-14.0,-973.0,0,1,0,1,-1,0,76
